RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.640D+00  3.166D+02
    1    2     1     0  ---    0  9.7D-03  1.0D+00  1.241D+00  2.270D+02
    2    3     0     0  con    0  1.0D+00  2.9D+00  2.363D-01  9.954D+01
    3    4     0     0  con    0  1.0D+00  9.4D-01  1.303D-01  8.767D+01
    4    5     0     0  con    0  1.0D+00  1.1D+00  1.244D-01  8.129D+01
    5    6     0     0  con    0  1.0D+00  1.4D+00  1.168D-01  7.624D+01
    6    7     0     0  con    0  1.0D+00  3.8D+00  1.190D-01  6.510D+01
    7    8     0     0  con    0  1.0D+00  8.4D+00  1.346D-01  4.546D+01
    8   10     0     0  con    1  1.7D-01  2.3D+00  1.923D-01  4.104D+01
    9   11     0     0  con    0  1.0D+00  8.4D+00  9.410D-02  3.209D+01
   10   12     0     0  con    0  1.0D+00  2.7D+00  1.394D-01  3.120D+01
   11   13     0     0  con    0  1.0D+00  3.3D+00  1.049D-01  3.029D+01
   12   14     0     0  con    0  1.0D+00  6.7D+00  1.174D-01  2.962D+01
   13   15     0     0  con    0  1.0D+00  1.7D+00  6.464D-02  2.933D+01
   14   16     0     0  con    0  1.0D+00  2.8D-01  2.694D-02  2.926D+01
   15   17     0     0  con    0  1.0D+00  6.4D-01  3.254D-02  2.917D+01
   16   18     0     0  con    0  1.0D+00  1.2D+00  9.054D-02  2.901D+01
   17   19     0     0  con    0  1.0D+00  2.7D+00  1.352D-01  2.862D+01
   18   20     0     0  con    0  1.0D+00  3.4D+00  1.579D-01  2.814D+01
   19   22     0     0  con    1  1.6D-01  7.9D-01  1.389D-01  2.806D+01
   20   23     0     0  con    0  1.0D+00  1.3D+00  4.759D-02  2.779D+01
   21   24     0     0  con    0  1.0D+00  1.1D+00  3.591D-02  2.762D+01
   22   25     0     0  con    0  1.0D+00  1.6D+00  6.729D-02  2.745D+01
   23   26     0     0  con    0  1.0D+00  1.9D+00  9.936D-02  2.716D+01
   24   27     0     0  con    0  1.0D+00  4.1D+00  1.456D-01  2.642D+01
   25   29     0     0  con    1  4.8D-01  3.3D+00  1.398D-01  2.597D+01
   26   30     0     0  con    0  1.0D+00  4.3D+00  9.503D-02  2.524D+01
   27   31     0     0  con    0  1.0D+00  5.4D+00  1.012D-01  2.475D+01
   28   32     0     0  con    0  1.0D+00  3.4D+00  1.247D-01  2.450D+01
   29   33     0     0  con    0  1.0D+00  6.8D-01  9.032D-02  2.427D+01
   30   34     0     0  con    0  1.0D+00  6.1D+00  6.436D-02  2.284D+01
   31   35     0     0  con    0  1.0D+00  7.2D+00  1.673D-01  2.277D+01
   32   36     0     0  con    0  1.0D+00  2.3D+00  5.751D-02  2.176D+01
   33   37     0     0  con    0  1.0D+00  1.7D+00  3.699D-02  2.155D+01
   34   38     0     0  con    0  1.0D+00  1.8D+00  3.537D-02  2.141D+01
   35   39     0     0  con    0  1.0D+00  2.3D+00  4.866D-02  2.117D+01
   36   40     0     0  con    0  1.0D+00  2.8D+00  9.887D-02  2.078D+01
   37   41     0     0  con    0  1.0D+00  3.1D+00  1.136D-01  2.025D+01
   38   42     0     0  con    0  1.0D+00  6.2D+00  1.149D-01  1.971D+01
   39   43     0     0  con    0  1.0D+00  2.0D+00  5.481D-02  1.931D+01
   40   44     0     0  con    0  1.0D+00  1.3D+00  3.523D-02  1.915D+01
   41   45     0     0  con    0  1.0D+00  7.4D-01  2.867D-02  1.903D+01
   42   46     0     0  con    0  1.0D+00  1.1D+00  5.038D-02  1.888D+01
   43   47     0     0  con    0  1.0D+00  2.3D+00  7.651D-02  1.866D+01
   44   48     0     0  con    0  1.0D+00  2.6D+00  7.645D-02  1.850D+01
   45   49     0     0  con    0  1.0D+00  1.2D+00  5.547D-02  1.827D+01
   46   50     0     0  con    0  1.0D+00  2.5D+00  4.744D-02  1.792D+01
   47   51     0     0  con    0  1.0D+00  2.5D+00  1.107D-01  1.774D+01
   48   52     0     0  con    0  1.0D+00  1.2D+00  5.575D-02  1.756D+01
